Time,deltaBAT,VBAT,50,200
4.9999999999999998e-008,1,0.00083060933672740762,50,200
9.9999999999999995e-008,1,0.0027111676487108129,50,200
1.4999999999999999e-007,1,0.0053756831812027308,50,200
1.9999999999999999e-007,1,0.0090817490266063353,50,200
2.4999999999999999e-007,1,0.013823791374415402,50,200
2.9999999999999999e-007,1,0.019596260612146289,50,200
3.4999999999999998e-007,1,0.026393631225895067,50,200
3.9999999999999998e-007,1,0.034210401701296383,50,200
4.4999999999999998e-007,1,0.043041094424882603,50,200
4.9999999999999998e-007,1,0.052880255585841376,50,200
5.5000000000000003e-007,1,0.063722455078170176,50,200
5.9999999999999997e-007,1,0.07556228640322632,50,200
6.4999999999999992e-007,1,0.088394366572670538,50,200
6.9999999999999986e-007,1,0.10221333601180296,50,200
7.4999999999999981e-007,1,0.11701385846328954,50,200
7.9999999999999975e-007,1,0.13279062089127747,50,200
8.499999999999997e-007,1,0.1495383333858985,50,200
8.9999999999999964e-007,1,0.16725172906815761,50,200
9.4999999999999959e-007,1,0.18592556399520627,50,200
9.9999999999999953e-007,1,0.2055546170659987,50,200
1.0499999999999995e-006,1,0.22613368992732913,50,200
1.0999999999999994e-006,1,0.24765760688024921,50,200
1.1499999999999994e-006,1,0.27012121478686307,50,200
1.1999999999999993e-006,1,0.29351938297749947,50,200
1.2499999999999993e-006,1,0.31784700315825931,50,200
1.2999999999999992e-006,1,0.34309898931893623,50,200
1.3499999999999991e-006,1,0.36927027764131048,50,200
1.3999999999999991e-006,1,0.39635582640781181,50,200
1.449999999999999e-006,1,0.42435061591055295,50,200
1.499999999999999e-006,1,0.45324964836073062,50,200
1.5499999999999989e-006,1,0.48304794779839222,50,200
1.5999999999999989e-006,1,0.51374056000256763,50,200
1.6499999999999988e-006,1,0.54532255240176464,50,200
1.6999999999999988e-006,1,0.57778901398482474,50,200
1.7499999999999987e-006,1,0.61113505521214151,50,200
1.7999999999999986e-006,1,0.64535580792723746,50,200
1.8499999999999986e-006,1,0.68044642526869548,50,200
1.8999999999999985e-006,1,0.71640208158245045,50,200
1.9499999999999987e-006,1,0.75321797233443333,50,200
1.9999999999999986e-006,1,0.79088931402356855,50,200
2.0499999999999986e-006,1,0.8294113440951234,50,200
2.0999999999999985e-006,1,0.86877932085440768,50,200
2.1499999999999985e-006,1,0.90898852338082259,50,200
2.1999999999999984e-006,1,0.95003425144225706,50,200
2.2499999999999984e-006,1,0.99191182540983025,50,200
2.2999999999999983e-006,1,1.0346165861729788,50,200
2.3499999999999983e-006,1,1.0781438950548874,50,200
2.3999999999999982e-006,1,1.1224891337282594,50,200
2.4499999999999981e-006,1,1.1676477041314339,50,200
2.4999999999999981e-006,1,1.2136150283848361,50,200
2.549999999999998e-006,1,1.2603865487077675,50,200
2.599999999999998e-006,1,1.3079577273355329,50,200
2.6499999999999979e-006,1,1.3563240464369026,50,200
2.6999999999999979e-006,1,1.4054810080319096,50,200
2.7499999999999978e-006,1,1.4554241339099754,50,200
2.7999999999999978e-006,1,1.5061489655483717,50,200
2.8499999999999977e-006,1,1.5576510640310108,50,200
2.8999999999999976e-006,1,1.6099260099675603,50,200
2.9499999999999976e-006,1,1.6629694034128901,50,200
2.9999999999999975e-006,1,1.7167768637868441,50,200
3.0499999999999975e-006,1,1.7713440297943346,50,200
3.0999999999999974e-006,1,1.8266665593457616,50,200
3.1499999999999974e-006,1,1.8827401294777522,50,200
3.1999999999999973e-006,1,1.9395604362742243,50,200
3.2499999999999973e-006,1,1.9971231947877672,50,200
3.2999999999999972e-006,1,2.0554241389613379,50,200
3.3499999999999971e-006,1,2.1144590215502799,50,200
3.3999999999999971e-006,1,2.1742236140446511,50,200
3.449999999999997e-006,1,2.2347137065918727,50,200
3.499999999999997e-006,1,2.2959251079196861,50,200
3.5499999999999969e-006,1,2.3578536452594219,50,200
3.5999999999999969e-006,1,2.4204951642695836,50,200
3.6499999999999968e-006,1,2.4838455289597343,50,200
3.6999999999999968e-006,1,2.5479006216147004,50,200
3.7499999999999967e-006,1,2.6126563427190668,50,200
3.7999999999999967e-006,1,2.6781086108819947,50,200
3.849999999999997e-006,1,2.7442533627623344,50,200
3.8999999999999974e-006,1,2.811086552994043,50,200
3.9499999999999978e-006,1,2.8786041541119025,50,200
3.9999999999999981e-006,1,2.9468021564775428,50,200
4.0499999999999985e-006,1,3.0156765682057567,50,200
4.0999999999999989e-006,1,3.0852234150911215,50,200
4.1499999999999992e-006,1,3.1554387405349136,50,200
4.1999999999999996e-006,1,3.2263186054723176,50,200
4.25e-006,1,3.2978590882999326,50,200
4.3000000000000003e-006,1,3.3700562848035718,50,200
4.3500000000000007e-006,1,3.4429063080863518,50,200
4.4000000000000011e-006,1,3.5164052884970776,50,200
4.4500000000000014e-006,1,3.5905493735589085,50,200
4.5000000000000018e-006,1,3.6653347278983253,50,200
4.5500000000000022e-006,1,3.7407575331743779,50,200
4.6000000000000025e-006,1,3.8168139880082195,50,200
4.6500000000000029e-006,1,3.8935003079129245,50,200
4.7000000000000033e-006,1,3.9708127252235994,50,200
4.7500000000000036e-006,1,4.0487474890277593,50,200
4.800000000000004e-006,1,4.1273008650960055,50,200
4.8500000000000044e-006,1,4.2064691358129807,50,200
4.9000000000000048e-006,1,4.2862486001085864,50,200
4.9500000000000051e-006,1,4.3666355733894946,50,200
5.0000000000000055e-006,0,4.4476263874709403,50,200
5.0500000000000059e-006,1,4.5292173905087747,50,200
5.1000000000000062e-006,1,4.6114049469318079,50,200
5.1500000000000066e-006,1,4.6941854373744185,50,200
5.200000000000007e-006,1,4.7775552586094383,50,200
5.2500000000000073e-006,1,4.8615108234812983,50,200
5.3000000000000077e-006,1,4.9460485608394738,50,200
5.3500000000000081e-006,1,5.0311649154721643,50,200
5.4000000000000084e-006,1,5.1168563480402689,50,200
5.4500000000000088e-006,1,5.2031193350116105,50,200
5.5000000000000092e-006,1,5.2899503685954361,50,200
5.5500000000000095e-006,1,5.3773459566771891,50,200
5.6000000000000099e-006,1,5.4653026227535264,50,200
5.6500000000000103e-006,1,5.5538169058676168,50,200
5.7000000000000106e-006,1,5.6428853605446916,50,200
5.750000000000011e-006,1,5.7325045567278572,50,200
5.8000000000000114e-006,1,5.8226710797141799,50,200
5.8500000000000118e-006,1,5.9133815300910069,50,200
5.9000000000000121e-006,1,6.0046325236725693,50,200
5.9500000000000125e-006,1,6.0964206914368191,50,200
6.0000000000000129e-006,1,6.1887426794625444,50,200
6.0500000000000132e-006,1,6.2815951488667228,50,200
6.1000000000000136e-006,1,6.3749747757421407,50,200
6.150000000000014e-006,1,6.4688782510952478,50,200
6.2000000000000143e-006,1,6.5633022807842911,50,200
6.2500000000000147e-006,1,6.6582435854576687,50,200
6.3000000000000151e-006,1,6.7536989004925569,50,200
6.3500000000000154e-006,1,6.8496649759337771,50,200
6.4000000000000158e-006,1,6.9461385764329062,50,200
6.4500000000000162e-006,1,7.0431164811876403,50,200
6.5000000000000165e-006,1,7.1405954838814099,50,200
6.5500000000000169e-006,1,7.2385723926232188,50,200
6.6000000000000173e-006,1,7.3370440298877497,50,200
6.6500000000000176e-006,1,7.4360072324557009,50,200
6.700000000000018e-006,1,7.535458851354365,50,200
6.7500000000000184e-006,1,7.635395751798459,50,200
6.8000000000000188e-006,1,7.7358148131311726,50,200
6.8500000000000191e-006,1,7.8367129287654835,50,200
6.9000000000000195e-006,1,7.9380870061256807,50,200
6.9500000000000199e-006,1,8.0399339665891549,50,200
7.0000000000000202e-006,1,8.1422507454283952,50,200
7.0500000000000206e-006,1,8.2450342917532531,50,200
7.100000000000021e-006,1,8.3482815684534089,50,200
7.1500000000000213e-006,1,8.4519895521410966,50,200
7.2000000000000217e-006,1,8.5561552330940458,50,200
7.2500000000000221e-006,1,8.6607756151986539,50,200
7.3000000000000224e-006,1,8.7658477158934041,50,200
7.3500000000000228e-006,1,8.8713685661124995,50,200
7.4000000000000232e-006,1,8.9773352102297288,50,200
7.4500000000000235e-006,1,9.083744706002566,50,200
7.5000000000000239e-006,1,9.1905941245164797,50,200
7.5500000000000243e-006,1,9.2978805501294843,50,200
7.6000000000000246e-006,1,9.405601080416929,50,200
7.650000000000025e-006,1,9.5137528261164626,50,200
7.7000000000000245e-006,1,9.6223329110732738,50,200
7.7500000000000241e-006,1,9.7313384721855378,50,200
7.8000000000000236e-006,1,9.8407666593500487,50,200
7.8500000000000231e-006,1,9.9506146354081295,50,200
7.9000000000000226e-006,1,10.060879576091736,50,200
7.9500000000000221e-006,1,10.171558669969754,50,200
8.0000000000000217e-006,1,10.282649118394557,50,200
8.0500000000000212e-006,1,10.394148135448763,50,200
8.1000000000000207e-006,1,10.50605294789219,50,200
8.1500000000000202e-006,1,10.618360795109067,50,200
8.2000000000000197e-006,1,10.731068929055413,50,200
8.2500000000000193e-006,1,10.844174614206661,50,200
8.3000000000000188e-006,1,10.957675127505485,50,200
8.3500000000000183e-006,1,11.071567758309847,50,200
8.4000000000000178e-006,1,11.185849808341223,50,200
8.4500000000000174e-006,1,11.300518591633093,50,200
8.5000000000000169e-006,1,11.415571434479594,50,200
8.5500000000000164e-006,1,11.531005675384394,50,200
8.6000000000000159e-006,1,11.646818665009787,50,200
8.6500000000000154e-006,1,11.763007766125973,50,200
8.700000000000015e-006,1,11.879570353560574,50,200
8.7500000000000145e-006,1,11.996503814148321,50,200
8.800000000000014e-006,1,12.11380554668095,50,200
8.8500000000000135e-006,1,12.231472961857353,50,200
8.900000000000013e-006,1,12.349503482233848,50,200
8.9500000000000126e-006,1,12.46789454217471,50,200
9.0000000000000121e-006,1,12.586643587802891,50,200
9.0500000000000116e-006,1,12.705748076950927,50,200
9.1000000000000111e-006,1,12.825205479112059,50,200
9.1500000000000107e-006,1,12.94501327539154,50,200
9.2000000000000102e-006,1,13.065168958458147,50,200
9.2500000000000097e-006,1,13.185670032495896,50,200
9.3000000000000092e-006,1,13.306514013155937,50,200
9.3500000000000087e-006,1,13.427698427508663,50,200
9.4000000000000083e-006,1,13.549220813995984,50,200
9.4500000000000078e-006,1,13.671078722383841,50,200
9.5000000000000073e-006,1,13.793269713714867,50,200
9.5500000000000068e-006,1,13.91579136026127,50,200
9.6000000000000063e-006,1,14.038641245477892,50,200
9.6500000000000059e-006,1,14.161816963955461,50,200
9.7000000000000054e-006,1,14.285316121374043,50,200
9.7500000000000049e-006,1,14.409136334456669,50,200
